"OBJECTID","Num_Cases","xcoord","ycoord","Label","Address","City","Region","Postal","CountryCode"
"1","1","-0.140033817387156","51.513268272662998","Carnaby Street","27 Kingly Street","London","England","W1B 5","GBR"
"2","3","-0.139874596281148","51.511226470395897","Vigo Street","Burlington Building, Heddon Street","London","England","W1B 4","GBR"
"3","1","-0.139916819716508","51.511274586393","Vigo Street","33 Heddon Street","London","England","W1B 4","GBR"
"4","2","-0.139587436605368","51.513537574011202","Carnaby Street","20 Fouberts Place","London","England","W1F 7","GBR"
"5","1","-0.139681937110528","51.512994008594902","Carnaby Street","21 Kingly Street","London","England","W1B 5","GBR"
"6","2","-0.139587436605368","51.513537574011202","Carnaby Street","20 Fouberts Place","London","England","W1F 7","GBR"
"7","1","-0.139478996678526","51.5150007225594","Marlbourough Mews","West End House, Ramillies Place","London","England","W1F 7","GBR"
"8","1","-0.139344201362725","51.514097289640603","Carnaby Street","35 Carnaby Street","London","England","W1F 7","GBR"
"9","1","-0.139205889018725","51.512939958779199","Carnaby Street","20 Ganton Street","London","England","W1F 7","GBR"
"10","1","-0.13942101231352","51.510773543644198","Vigo Street","7 Heddon Street","London","England","W1B 4","GBR"
"11","1","-0.139186105759799","51.5134559021744","Carnaby Street","34 Carnaby Street","London","England","W1F 7","GBR"
"12","1","-0.139205889018725","51.512939958779199","Carnaby Street","20 Ganton Street","London","England","W1F 7","GBR"
"13","1","-0.13931999323341","51.513675696934598","Carnaby Street","26 Fouberts Place","London","England","W1F 7","GBR"
"14","1","-0.139273610535977","51.5129084822604","Carnaby Street","22 Ganton Street","London","England","W1F 7","GBR"
"15","2","-0.139256736439463","51.512846654223502","Carnaby Street","23 Ganton Street","London","England","W1F 7","GBR"
"16","1","-0.139113287756969","51.513486756876198","Carnaby Street","13 Newburgh Street","London","England","W1F 7","GBR"
"17","1","-0.139085981356615","51.513001333738799","Carnaby Street","16 Ganton Street","London","England","W1F 7","GBR"
"18","8","-0.139161576606196","51.512895491784199","Carnaby Street","23 Ganton Street","London","England","W1F 7","GBR"
"19","1","-0.138967695977617","51.513241640733902","Carnaby Street","41 Carnaby Street","London","England","W1F 7","GBR"
"20","2","-0.139020901208985","51.513358186061801","Carnaby Street","15 Newburgh Street","London","England","W1F 7","GBR"
"21","2","-0.139028954355658","51.512959547841398","Carnaby Street","15 Ganton Street","London","England","W1F 7","GBR"
"22","1","-0.138887122325685","51.513029280062703","Carnaby Street","15 Ganton Street","London","England","W1F 7","GBR"
"23","1","-0.138971851264461","51.513312648177902","Carnaby Street","24 Carnaby Street","London","England","W1F 7","GBR"
"24","1","-0.138975241786429","51.513572041803201","Carnaby Street","3 Lowndes Court","London","England","W1F 7","GBR"
"25","3","-0.138812054848137","51.513749348067897","Carnaby Street","9 Newburgh Street","London","England","W1F 7","GBR"
"26","1","-0.13878872664123","51.513614378737699","Carnaby Street","13 Newburgh Street","London","England","W1F 7","GBR"
"27","1","-0.138812054848137","51.513749348067897","Carnaby Street","9 Newburgh Street","London","England","W1F 7","GBR"
"28","1","-0.138669172385002","51.513602536279997","Carnaby Street","6 Newburgh Street","London","England","W1F 7","GBR"
"29","1","-0.138564957224572","51.513171652749897","Carnaby Street","16 Carnaby Street","London","England","W1F 7","GBR"
"30","1","-0.138449817792468","51.513296729093","Carnaby Street","16 Newburgh Street","London","England","W1F 7","GBR"
"31","1","-0.138394086609071","51.5126980984261","Warwick Street","50 Carnaby Street","London","England","W1F 7","GBR"
"32","1","-0.138563304325975","51.513504476318701","Carnaby Street","3 Newburgh Street","London","England","W1F 7","GBR"
"33","1","-0.138601611794949","51.512382628215597","Warwick Street","5 Kingly Street","London","England","W1B 5","GBR"
"34","3","-0.138564957224572","51.513171652749897","Carnaby Street","16 Carnaby Street","London","England","W1F 7","GBR"
"35","1","-0.138320471190267","51.512728210027603","Warwick Street","68 Broadwick Street","London","England","W1F 9","GBR"
"36","1","-0.138564957224572","51.513171652749897","Carnaby Street","16 Carnaby Street","London","England","W1F 7","GBR"
"37","1","-0.138171277680753","51.513329111243898","Carnaby Street","16 Carnaby Street","London","England","W1F 7","GBR"
"38","2","-0.138281655631744","51.5133546145805","Carnaby Street","6 Ganton Street","London","England","W1F 7","GBR"
"39","4","-0.138564957224572","51.513171652749897","Carnaby Street","16 Carnaby Street","London","England","W1F 7","GBR"
"40","1","-0.138205453703018","51.513665441306401","Carnaby Street","35 Marshall Street","London","England","W1F 7","GBR"
"41","1","-0.138235321986692","51.513830747887397","Carnaby Street","City of Westminister Dwellings, Marshall Street","London","England","W1F 7","GBR"
"42","3","-0.138171277680753","51.513329111243898","Carnaby Street","16 Carnaby Street","London","England","W1F 7","GBR"
"43","2","-0.138205453703018","51.513665441306401","Carnaby Street","35 Marshall Street","London","England","W1F 7","GBR"
"44","2","-0.137965766873658","51.512927029543803","Broad Street","68 Broadwick Street","London","England","W1F 9","GBR"
"45","1","-0.138143790314053","51.513400361606401","Carnaby Street","37 Marshall Street","London","England","W1F 7","GBR"
"46","1","-0.137965766873658","51.512927029543803","Broad Street","68 Broadwick Street","London","England","W1F 9","GBR"
"47","1","-0.138151525663452","51.512467992436299","Warwick Street","54 Carnaby Street","London","England","W1F 9","GBR"
"48","2","-0.138171277680753","51.513329111243898","Carnaby Street","16 Carnaby Street","London","England","W1F 7","GBR"
"49","2","-0.138089621516068","51.513641989433999","Carnaby Street","19 Marshall Street","London","England","W1F 7","GBR"
"50","1","-0.138023327769059","51.513429491118103","Broad Street","2 Ganton Street","London","England","W1F 7","GBR"
"51","1","-0.138022173573009","51.511905650032197","Warwick Street","30 Upper John Street","London","England","W1F 9","GBR"
"52","1","-0.138083019387297","51.512402249366303","Warwick Street","55 Carnaby Street","London","England","W1F 9","GBR"
"53","1","-0.138009080637933","51.51243205067","Warwick Street","4 Carnaby Street","London","England","W1F 9","GBR"
"54","2","-0.137950143351119","51.513331996551997","Broad Street","16 Carnaby Street","London","England","W1F 7","GBR"
"55","1","-0.138009080637933","51.51243205067","Warwick Street","4 Carnaby Street","London","England","W1F 9","GBR"
"56","4","-0.13794392084422","51.513453229879602","Broad Street","14 Marshall Street","London","England","W1F 7","GBR"
"57","3","-0.137810465699251","51.514713302829001","Marlbourough Mews","3 Great Marlborough Street","London","England","W1F 7","GBR"
"58","4","-0.138009080637933","51.51243205067","Warwick Street","4 Carnaby Street","London","England","W1F 9","GBR"
"59","1","-0.1376948393542","51.515599389136398","Castle Street","38 Poland Street","London","England","W1F 7","GBR"
"60","1","-0.137809483349659","51.513143792510597","Broad Street","68 Broadwick Street","London","England","W1F 9","GBR"
"61","3","-0.137928349998022","51.513432887881301","Broad Street","14 Marshall Street","London","England","W1F 7","GBR"
"62","2","-0.137812164710204","51.513277318912699","Broad Street","7 Marshall Street","London","England","W1F 7","GBR"
"63","4","-0.137809483349659","51.513143792510597","Broad Street","68 Broadwick Street","London","England","W1F 9","GBR"
"64","1","-0.137812164710204","51.513277318912699","Broad Street","7 Marshall Street","London","England","W1F 7","GBR"
"65","2","-0.137743109918675","51.513057274286297","Broad Street","68 Broadwick Street","London","England","W1F 9","GBR"
"66","1","-0.137885343477883","51.512279505583003","Warwick Street","31 Carnaby Street","London","England","W1F 9","GBR"
"67","1","-0.137729616122359","51.513166924465999","Broad Street","7 Marshall Street","London","England","W1F 7","GBR"
"68","2","-0.137685998932682","51.514746871835897","Broad Street","3 Great Marlborough Street","London","England","W1F 7","GBR"
"69","4","-0.137729616122359","51.513166924465999","Broad Street","7 Marshall Street","London","England","W1F 7","GBR"
"70","2","-0.137787717631612","51.511756564203402","Warwick Street","33 Golden Square","London","England","W1F 9","GBR"
"71","1","-0.137729203180833","51.513027341869197","Broad Street","68 Broadwick Street","London","England","W1F 9","GBR"
"72","1","-0.137517898618445","51.512429624558798","Broad Street","45 Beak Street","London","England","W1F 9","GBR"
"73","1","-0.137469555563961","51.512383794778501","Broad Street","1 Upper James Street","London","England","W1F 9","GBR"
"74","4","-0.137543615013487","51.512924295068402","Broad Street","2 Marshall Street","London","England","W1F 9","GBR"
"75","3","-0.137517898618445","51.512429624558798","Broad Street","45 Beak Street","London","England","W1F 9","GBR"
